8,
Team No,Team Name,Division,
1,Springs Chickens,division 1,
2,Park People,division 1,
3,Commerce City Platinum,division 1,
4,Commerce City Mintonettes,division 1,
5,Commerce City Aged to Perfection,division 1,
6,Greeley Flash,division 1,
7,Commerce City Busted Blockers,division 2,
8,Boulder County Blitz,division 2,
9,Lafayette Crush,division 2,
10,Westminster Diamond,division 2,
11,Lakewood Silver Thunder,division 2,
12,Commerce City Rays Team,division 2,
13,Commerce City Frans Team,division 3,
14,Commerce City Fireproof Guys,division 3,
15,Greeley Moles,division 3,
16,Boulder Blasters,division 3,
17,Springs Amazing Grays,division 3,
18,Lakewood SkyBars,division 3,
19,Springs Bones In Motion,division 4,
20,Golden Spikers,division 4,
21,EverGeezers,division 4,
22,South Suburban Stars,division 4,
23,Evergreen Thunder Ducks,division 4,
24,Springs Old and Restless,division 4,
25,Greeley Chill,division 5,
26,Commerce City Saints,division 5,
27,Broomfield Dairy Queen,division 5,
28,Longmont Bumpers,division 5,
29,Lakewood Energizers,division 5,
30,Springs Spikes Peak,division 5,
31,Lakewood Mile Highs,division 6,
32,South Suburban Vollyers,division 6,
33,Westminster Mica,division 6,
34,Loveland Lightning,division 6,
35,Thornton Lightning,division 6,
36,Greeley Glitz,division 6,
37,Longmont Senior Moments,division 7,
38,Lafayette Safe Sets,division 7,
39,Erie Netters,division 7,
40,Evergreen Diggers,division 7,
41,Wheat Ridge High Balls,division 7,
42,Lakewood Set Me High,division 7,
43,Greeley Mustangs,division 8,
44,Longmont Brewers,division 8,
45,Lakewood Attackers,division 8,
46,Lakewood Top Gun,division 8,
47,Golden Setters,division 8,
48,Erie Tigers,division 8,
49,Lakewood Senior Setters,division 8,
50,Evergreen Elk Herders,division 8,
